,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
P,0.0,5.66,11.464,14.968,12.787,34.379,40.188,16.884,9.245,19.278,15.77,23.762,28.724,41.239,35.322,10.08,35.983,42.16,41.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.541
Q,6.024,8.423,10.499,32.015,22.45,29.622,37.831,23.325,17.686,17.668,12.487,11.534,15.173,34.167,43.273,31.803,38.009,41.495,39.551,10.452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.828
R,7.598,28.146,0.0,32.568,42.035,37.701,44.755,20.685,20.652,35.613,33.134,13.66,19.188,38.212,41.299,37.756,33.143,38.167,38.79,30.886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.541,23.712,36.245
S,0.0,0.0,12.344,10.259,33.988,39.19,41.205,38.707,38.959,40.21,43.6,33.414,28.952,38.181,40.447,17.167,0.0,15.67,26.404,38.835,9.072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.957,16.115,0.0,0.0,0.0,2.418,38.449,45.812
T,11.522,4.828,18.603,10.577,1.603,11.268,30.709,44.607,41.577,40.873,43.926,45.009,37.871,26.944,25.916,0.0,0.0,0.0,0.0,22.935,36.356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.284,35.011,1.579,0.0,0.0,4.77,31.752,37.185,44.116
U,10.541,11.438,10.625,3.844,11.718,0.0,0.0,8.46,32.921,40.903,38.863,43.674,43.832,21.348,0.0,0.0,0.0,0.0,0.0,0.0,32.463,29.551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.139,26.484,0.0,0.0,6.061,14.747,39.375,43.042,45.569,38.814
V,18.938,33.543,22.372,29.551,27.414,1.526,0.0,0.0,0.0,1.431,4.167,24.031,24.081,0.0,0.0,0.0,13.703,0.0,0.0,0.0,4.736,19.622,8.753,0.0,0.0,0.0,0.0,1.456,1.455,0.0,0.0,0.0,0.0,0.0,1.434,5.735,2.871,0.0,0.0,0.0,0.0,16.955,29.612,39.807,39.436,32.032,22.566,0.0
W,0.0,31.272,36.775,35.053,41.292,29.087,4.424,5.963,2.758,33.465,12.37,0.0,0.0,0.0,0.0,11.115,16.129,5.416,0.0,0.0,0.0,5.249,12.468,6.212,0.0,1.464,0.0,0.0,0.0,12.306,5.038,5.596,0.0,2.869,0.0,0.0,0.0,0.0,0.0,0.0,18.398,38.448,37.761,24.946,34.051,38.906,5.425,5.017
X,0.0,0.0,23.705,32.857,33.689,30.842,0.0,0.0,0.0,8.086,0.0,0.0,0.0,15.466,13.659,17.423,19.278,17.027,13.338,15.223,2.822,0.0,13.563,6.328,0.0,15.114,28.894,33.584,5.855,7.165,16.73,15.012,0.0,7.205,0.0,0.0,0.0,26.769,42.785,43.433,41.549,29.653,24.048,36.096,41.083,18.17,16.382,23.753
Y,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.255,24.679,0.0,16.339,14.085,17.252,22.99,15.317,13.265,24.68,24.954,31.702,0.0,14.185,34.504,32.188,20.563,21.221,19.593,24.909,17.297,4.421,0.0,0.0,0.0,6.245,26.552,25.254,16.264,37.541,33.545,29.455,40.632,42.17,26.83,11.21,26.962,40.03,47.72
Z,0.0,5.318,25.666,16.644,0.0,7.838,23.656,0.0,0.0,17.192,24.035,13.73,11.876,9.106,14.151,0.0,0.0,20.678,16.833,28.085,0.0,32.23,18.621,19.671,38.124,40.783,30.662,27.368,7.407,3.712,18.364,8.346,12.008,12.68,13.355,10.812,16.165,20.867,27.234,35.248,40.816,39.839,12.652,26.962,38.771,42.926,42.494,39.52
AA,0.0,0.0,0.0,12.994,19.719,16.474,11.834,21.898,16.558,1.92,14.855,10.482,0.0,0.0,20.223,15.905,13.035,12.266,0.0,38.108,21.649,0.0,40.71,18.048,17.771,38.261,40.585,36.364,30.871,23.11,21.275,21.324,21.46,30.922,30.321,35.031,36.916,42.328,43.439,43.191,37.128,10.316,0.0,23.27,32.374,34.766,34.847,32.234
AB,0.0,0.0,4.504,15.416,24.071,27.144,28.301,42.842,24.769,13.259,10.582,12.208,18.538,8.059,15.204,14.044,10.794,13.605,5.677,23.762,45.38,5.44,0.0,30.68,29.439,26.99,35.958,36.649,41.241,40.729,29.335,24.017,32.104,31.139,26.804,32.693,35.485,29.189,33.67,29.587,0.0,26.242,27.447,33.636,37.714,32.65,34.017,33.524
AC,0.0,23.779,36.71,33.449,40.126,40.415,37.254,33.51,8.223,18.311,15.166,17.323,12.487,14.827,18.048,23.597,39.99,33.788,12.249,0.0,36.639,45.99,29.66,0.0,0.0,3.041,15.524,2.941,0.0,14.688,28.008,27.425,23.051,30.835,36.506,31.214,31.292,30.087,0.0,0.0,22.437,34.309,38.832,38.229,35.225,40.816,42.761,41.71
AD,2.808,36.497,29.53,34.054,41.332,38.376,28.485,26.614,37.348,36.895,35.92,16.567,14.265,13.029,0.0,7.019,28.537,36.191,31.409,27.271,2.107,34.197,45.876,36.223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.237,23.656,36.635,45.019,45.311,43.677,42.226,37.43,35.516,35.55,38.683
AE,6.89,38.463,33.713,36.548,40.524,40.251,40.968,39.446,40.214,40.259,42.407,22.611,3.054,30.333,16.36,13.565,17.392,23.347,40.538,38.117,14.999,0.0,17.903,41.485,44.085,27.423,7.511,10.194,12.576,3.018,5.852,0.0,0.0,0.0,0.0,14.561,36.441,39.561,40.455,36.539,33.183,20.362,6.773,3.847,4.971,2.294,2.026,7.284
AF,17.936,36.859,33.35,37.038,40.929,39.153,39.116,40.199,37.615,40.289,39.429,18.963,20.628,33.092,19.304,18.396,18.607,12.918,10.13,39.046,39.807,24.68,0.0,0.0,5.993,26.105,31.342,33.135,29.376,22.114,16.68,10.05,18.971,16.936,14.996,10.285,9.031,7.472,6.411,11.985,12.851,18.332,22.251,20.902,19.672,20.086,17.128,16.398
